siruta,parent_siruta,postal_code,type,name
10,1,0,judet,ALBA
1017,10,0,municipiu,ALBA IULIA
1026,1017,0,localitate,ALBA IULIA
1035,1017,510001,localitate,BARABANT
1044,1017,510002,localitate,MICESTI
1053,1017,510003,localitate,OARDA
1062,1017,510004,localitate,PACLISA
1213,10,0,municipiu,AIUD
1222,1213,515200,localitate,AIUD
1231,1213,515201,localitate,AIUDUL DE SUS
1277,1213,515202,sat,CIUMBRUD
1240,1213,515203,localitate,GAMBAS
1286,1213,515204,sat,GARBOVA DE JOS
1295,1213,515205,sat,GARBOVA DE SUS
1302,1213,515206,sat,GARBOVITA
1259,1213,515207,localitate,MAGINA
1268,1213,515208,localitate,PAGIDA
1311,1213,515209,sat,SANCRAI
1320,1213,515210,sat,TIFRA
1348,10,0,municipiu,BLAJ
1357,1348,515400,localitate,BLAJ
1366,1348,515401,localitate,DELENI-OBARSIE
1375,1348,515402,localitate,FLITESTI
1384,1348,515403,localitate,IZVOARELE
1428,1348,515404,sat,MANARADE
1393,1348,515405,localitate,PETRISAT
1437,1348,515406,sat,SPATAC
1400,1348,515407,localitate,TIUR
1419,1348,515408,localitate,VEZA
1874,10,0,municipiu,SEBES
1883,1874,515800,localitate,SEBES
1892,1874,515801,localitate,LANCRAM
1909,1874,515850,localitate,PETRESTI
1918,1874,515802,sat,RAHAU
1151,10,0,oras,ABRUD
1160,1151,515100,localitate,ABRUD
1179,1151,515101,localitate,ABRUD-SAT
1188,1151,515102,localitate,GURA CORNEI
1197,1151,515103,localitate,SOHARU
2915,10,0,oras,BAIA DE ARIES
2924,2915,515300,localitate,BAIA DE ARIES
2933,2915,515301,sat,BRAZESTI
2942,2915,515302,sat,CIOARA DE SUS
2951,2915,515303,sat,MUNCELU
2960,2915,515304,sat,SARTAS
2979,2915,515305,sat,SIMULESTI
1455,10,0,oras,CAMPENI
1464,1455,515500,localitate,CAMPENI
1473,1455,515501,localitate,BONCESTI
1482,1455,515502,localitate,BORLESTI
1491,1455,515503,localitate,BOTESTI
1507,1455,515504,localitate,CERTEGE
1516,1455,515505,localitate,COASTA VASCULUI
1525,1455,515506,localitate,DANDUT
1534,1455,515507,localitate,DEALU BISTRII
1543,1455,515508,localitate,DEALU CAPSEI
1552,1455,515509,localitate,DRIC
1561,1455,515510,localitate,FATA ABRUDULUI
1570,1455,515511,localitate,FLORESTI
1589,1455,515512,localitate,FURDUIESTI
1598,1455,515513,localitate,MIHOESTI
1605,1455,515514,localitate,MOTORASTI
1614,1455,515515,localitate,PESTE VALEA BISTRII
1623,1455,515516,localitate,PODURI
1632,1455,515517,localitate,SORLITA
1641,1455,515518,localitate,TOMUSESTI
1650,1455,515519,localitate,VALEA BISTRII
1669,1455,515520,localitate,VALEA CASELOR
1678,1455,515521,localitate,VARSI
1696,10,0,oras,CUGIR
1703,1696,515600,localitate,CUGIR
1712,1696,515601,localitate,BOCSITURA
1721,1696,515602,localitate,BUCURU
1730,1696,515603,localitate,CALENE
1749,1696,515604,localitate,FETENI
1758,1696,515605,localitate,GOASELE
1767,1696,515606,localitate,MUGESTI
1776,1696,515607,localitate,VINEREA
1794,10,0,oras,OCNA MURES
1801,1794,515700,localitate,OCNA MURES
1838,1794,515701,sat,CISTEIU DE MURES
1847,1794,515702,sat,MICOSLACA
1856,1794,515703,sat,RAZBOIENI-CETATE
1810,1794,515704,localitate,UIOARA DE JOS
1829,1794,515705,localitate,UIOARA DE SUS
8096,10,0,oras,TEIUS
8103,8096,515900,localitate,TEIUS
8112,8096,515901,sat,BELDIU
8121,8096,515902,sat,CAPUD
8130,8096,515903,sat,COSLARIU NOU
8149,8096,515904,sat,PETELCA
1936,10,0,oras,ZLATNA
1945,1936,516100,localitate,ZLATNA
1954,1936,516101,sat,BOTESTI
1963,1936,516102,sat,BUDENI
1972,1936,516103,sat,DEALU ROATEI
1981,1936,516104,sat,DOBROT
1990,1936,516105,sat,DUMBRAVA
2005,1936,516106,sat,FENES
2014,1936,516107,sat,GALATI
2023,1936,516108,sat,IZVORU AMPOIULUI
2032,1936,516109,sat,PATRANGENI
2041,1936,516111,sat,PIRITA
2050,1936,516110,sat,PARAU GRUIULUI
2069,1936,516112,sat,PODU LUI PAUL
2078,1936,516113,sat,RUNC
2087,1936,516114,sat,RUSI
2096,1936,516115,sat,SUSENI
2103,1936,516116,sat,TRAMPOIELE
2112,1936,516117,sat,VALEA MICA
2121,1936,516118,sat,VALTORI
2130,10,0,comuna,ALBAC
2149,2130,517005,sat,ALBAC
2158,2130,517006,sat,BARASTI
2167,2130,517007,sat,BUDAIESTI
2176,2130,517008,sat,CIONESTI
2185,2130,517009,sat,COSTESTI
2194,2130,517011,sat,DEALU LAMASOI
2201,2130,517012,sat,DEVE
2210,2130,517013,sat,DUPA PLESE
2229,2130,517014,sat,FATA
2238,2130,517016,sat,PLESESTI
2247,2130,517017,sat,POTIONCI
2256,2130,517018,sat,ROGOZ
2265,2130,517019,sat,ROSESTI
2274,2130,517021,sat,RUSESTI
2283,2130,517022,sat,SOHODOL
2292,2130,517023,sat,TAMBORESTI
2309,10,0,comuna,ALMASU MARE
2318,2309,517030,sat,ALMASU MARE
2327,2309,517031,sat,ALMASU DE MIJLOC
2336,2309,517032,sat,BRADET
2345,2309,517033,sat,CHEILE CIBULUI
2354,2309,517034,sat,CIB
2363,2309,517036,sat,GLOD
2372,2309,517038,sat,NADASTIA
2381,10,0,comuna,ARIESENI
2390,2381,517040,sat,ARIESENI
2407,2381,517041,sat,AVRAMESTI
2416,2381,517042,sat,BUBESTI
2425,2381,517043,sat,CASA DE PIATRA
2434,2381,517044,sat,COBLES
2443,2381,517046,sat,DEALU BAJULUI
2452,2381,517047,sat,FATA CRISTESEI
2461,2381,517048,sat,FATA LAPUSULUI
2470,2381,517049,sat,GALBENA
2489,2381,517051,sat,HODOBANA
2498,2381,517052,sat,IZLAZ
2504,2381,517053,sat,PANTESTI
2513,2381,517054,sat,PATRAHAITESTI
