siruta,county,city,type,name
2130,ALBA,ALBAC,strada,Closca
2130,ALBA,ALBAC,strada,Crisan
2130,ALBA,ALBAC,strada,Horea
2130,ALBA,ALBAC,strada,Principala
2309,ALBA,ALMASU MARE,strada,Almasu Mare
2309,ALBA,ALMASU MARE,strada,Colonel Hanes
2309,ALBA,ALMASU MARE,strada,Lazuri
2309,ALBA,ALMASU MARE,strada,Principala
2381,ALBA,ARIESENI,strada,Arieseni
2988,ALBA,BERGHIN,strada,Morii
2988,ALBA,BERGHIN,strada,Principala
2988,ALBA,BERGHIN,strada,Romaneasca
2988,ALBA,BERGHIN,strada,Viilor
3039,ALBA,BISTRA,strada,1 Decembrie 1918
3039,ALBA,BISTRA,strada,1 Mai
3039,ALBA,BISTRA,strada,22 Decembrie 1989
3039,ALBA,BISTRA,strada,Ariesului
3039,ALBA,BISTRA,strada,Aviatorilor
3039,ALBA,BISTRA,strada,Avram Iancu
3039,ALBA,BISTRA,strada,Bistrisorii
3039,ALBA,BISTRA,strada,Bolfi
3039,ALBA,BISTRA,strada,Closca
3039,ALBA,BISTRA,strada,Crisan
3039,ALBA,BISTRA,strada,Furcilor
3039,ALBA,BISTRA,strada,Ganea
3039,ALBA,BISTRA,strada,Ghiocelului
3039,ALBA,BISTRA,strada,Gruiet
3039,ALBA,BISTRA,strada,Horea
3039,ALBA,BISTRA,strada,Hudricestilor
3039,ALBA,BISTRA,strada,Iazului
3039,ALBA,BISTRA,strada,Incesti
3039,ALBA,BISTRA,strada,Iuliu Coroiu
3039,ALBA,BISTRA,strada,Lunca Merilor
3039,ALBA,BISTRA,strada,Luncii
3039,ALBA,BISTRA,strada,Muncutesti
3039,ALBA,BISTRA,strada,Nicolae Iorga
3039,ALBA,BISTRA,strada,P. P. Aron
3039,ALBA,BISTRA,strada,Paraul Oilor
3039,ALBA,BISTRA,strada,Pastesti
3039,ALBA,BISTRA,strada,Petru Pavel Aron
3039,ALBA,BISTRA,strada,Rude
3039,ALBA,BISTRA,strada,Scurta
3039,ALBA,BISTRA,strada,Soferilor
3039,ALBA,BISTRA,strada,Solidaritatii
3039,ALBA,BISTRA,strada,Trompos
3039,ALBA,BISTRA,cale,Turzii
3039,ALBA,BISTRA,strada,Valea Bistrisorii
3039,ALBA,BISTRA,strada,Valea Mare
3397,ALBA,BLANDIANA,strada,Blandiana
3397,ALBA,BLANDIANA,strada,Principala
4204,ALBA,BUCERDEA GRANOASA,strada,1 Decembrie 1918
4204,ALBA,BUCERDEA GRANOASA,strada,Bethlen Gabor
4204,ALBA,BUCERDEA GRANOASA,strada,Bisericii
4204,ALBA,BUCERDEA GRANOASA,cale,Blajului
4204,ALBA,BUCERDEA GRANOASA,strada,Florilor
4204,ALBA,BUCERDEA GRANOASA,strada,George Cosbuc
4204,ALBA,BUCERDEA GRANOASA,strada,I. Maiorescu
4204,ALBA,BUCERDEA GRANOASA,strada,Ioan Maiorescu
4204,ALBA,BUCERDEA GRANOASA,strada,Lipoveni
4204,ALBA,BUCERDEA GRANOASA,strada,Lucian Blaga
4204,ALBA,BUCERDEA GRANOASA,strada,Mihai Eminescu
4204,ALBA,BUCERDEA GRANOASA,strada,Morii
4204,ALBA,BUCERDEA GRANOASA,strada,Pancii
4204,ALBA,BUCERDEA GRANOASA,strada,Petofi Sandor
4204,ALBA,BUCERDEA GRANOASA,strada,Podvechiului
4204,ALBA,BUCERDEA GRANOASA,strada,Postei
4204,ALBA,BUCERDEA GRANOASA,strada,Potvehiului
4204,ALBA,BUCERDEA GRANOASA,strada,Principala
4204,ALBA,BUCERDEA GRANOASA,strada,Salcamilor
4204,ALBA,BUCERDEA GRANOASA,strada,Simion Barnutiu
4204,ALBA,BUCERDEA GRANOASA,strada,Timotei Cipariu
4204,ALBA,BUCERDEA GRANOASA,strada,Titu Maiorescu
3459,ALBA,BUCIUM,strada,Bisericani
3459,ALBA,BUCIUM,strada,Principala
4106,ALBA,CALNIC,strada,Bisericii
4106,ALBA,CALNIC,strada,Cilnic
4106,ALBA,CALNIC,strada,Godovana
4106,ALBA,CALNIC,strada,Morii
4106,ALBA,CALNIC,strada,Principala
4106,ALBA,CALNIC,strada,Reciului
4106,ALBA,CALNIC,strada,Tau
4106,ALBA,CALNIC,strada,Viilor
3761,ALBA,CENADE,strada,Cenade
3761,ALBA,CENADE,strada,Principala
3958,ALBA,CETATEA DE BALTA,strada,23 August
3958,ALBA,CETATEA DE BALTA,strada,Avram Iancu
3958,ALBA,CETATEA DE BALTA,strada,Cetatii
3958,ALBA,CETATEA DE BALTA,strada,Cimpului
3958,ALBA,CETATEA DE BALTA,strada,Dacilor
3958,ALBA,CETATEA DE BALTA,strada,Gazului
3958,ALBA,CETATEA DE BALTA,strada,Horea
3958,ALBA,CETATEA DE BALTA,strada,Mihai Eminescu
