female,male
Ada,Abel
Adela,Achim
Adelaida,Adam
Adelina,Adelin
Adina,Adi
Adriana,Adonis
Agata,Adrian
Aglaia,Agnos
Agripina,Albert
Aida,Aleodor
Alberta,Alex
Albertina,Alexandru
Alexandra,Alexe
Alexandrina,Alin
Alexia,Alistar
Alice,Amedeu
Alida,Amza
Alina,Anatolie
Alis,Andrei
Alma,Andrian
Amalia,Angel
Amanda,Anghel
Amelia,Antim
Ana,Anton
Anabela,Antonie
Anaida,Antoniu
Anamaria,Arcadian
Anastasia,Arian
Anca,Aristide
Ancuța,Arsenie
Anda,Augustin
Andra,Aurel
Andrada,Aurelian
Andreea,Aurică
Anemona,Avram
Aneta,Axinte
Angela,Barbu
Anghelina,Bartolomeu
Anica,Basarab
Anișoara,Bănel
Antoaneta,Bebe
Antonela,Beniamin
Antonia,Benone
Anuța,Bernard
Ariadna,Bogdan
Ariana,Brăduț
Arina,Bucur
Aristița,Caius
Artemisa,Camil
Astrid,Cantemir
Atena,Carol
Augustina,Casian
Aura,Cazimir
Aurelia,Călin
Aureliana,Cătălin
Aurica,Cedrin
Aurora,Cezar
Axenia,Ciprian
Beatrice,Claudiu
Betina,Codin
Bianca,Codrin
Blanduzia,Codruț
Bogdana,Constantin
Brândușa,Cornel
Camelia,Corneliu
Carina,Corvin
Carla,Cosmin
Carmen,Costache
Carmina,Costică
Carolina,Costel
Casandra,Costin
Casiana,Crin
Caterina,Cristea
Catinca,Cristian
Catrina,Cristinel
Catrinel,Cristobal
Cătălina,Cristofor
Cecilia,Dacian
Celia,Damian
Cerasela,Dan
Cezara,Daniel
Cipriana,Darius
Clara,David
Clarisa,Decebal
Claudia,Denis
Clementina,Dinu
Cleopatra,Dominic
Codrina,Dorel
Codruța,Dorian
Constanța,Dorin
Constantina,Dorinel
Consuela,Doru
Coralia,Dragomir
Corina,Dragoș
Cornelia,Ducu
Cosmina,Dumitru
Crenguța,Edgar
Crina,Edmond
Cristina,Eduard
Daciana,Eftimie
Dafina,Emanoil
Daiana,Emanuel
Dalia,Emanuil
Dana,Emil
Daniela,Emilian
Daria,Eremia
Dariana,Eric
Delia,Ernest
Demetra,Eugen
Denisa,Eusebiu
Despina,Eustațiu
Diana,Fabian
Dida,Felix
Didina,Filip
Dimitrina,Fiodor
Dina,Flaviu
Dochia,Florea
Doina,Florentin
Domnica,Florian
Dora,Florin
Doriana,Francisc
Dorina,Gabi
Dorli,Gabriel
Draga,Gelu
Dumitra,George
Dumitrana,Georgel
Ecaterina,Georgian
Eftimia,Ghenadie
Elena,Gheorghe
Eleonora,Gheorghiță
Eliana,Gherasim
Elisabeta,Ghiță
Elisaveta,Gică
Eliza,Gicu
Elodia,Giorgian
Elvira,Grațian
Emanuela,Gregorian
Emilia,Grigoraș
Erica,Grigore
Estera,Haralamb
Eufrosina,Haralambie
Eugenia,Horațiu
Eusebia,Horea
Eva,Horia
Evanghelina,Horică
Evelina,Iacob
Fabia,Iacov
Fabiana,Iancu
Felicia,Ianis
Filofteia,Ieremia
Fiona,Ilarie
Flavia,Ilarion
Floare,Ilie
Floarea,Iliuță
Flora,Inocențiu
Florența,Ioan
Florentina,Ion
Floriana,Ionel
Florica,Ionică
Florina,Ioniță
Francesca,Ionuț
Frusina,Iosif
Gabriela,Irinel
Geanina,Iulian
Gențiana,Iuliu
Georgeta,Iurie
Georgia,Iustin
Georgiana,Iustinian
Geta,Ivan
Gherghina,Jan
Gianina,Jean
Gina,Jenel
Giorgiana,Ladislau
Grațiana,Lascăr
Grațiela,Laurențiu
Henrieta,Laurian
Heracleea,Lazăr
Hortensia,Leonard
Iasmina,Leontin
Ica,Leordean
Ileana,Lică
Ilinca,Liviu
Ilona,Lorin
Ina,Luca
Ioana,Lucențiu
Ioanina,Lucian
Iolanda,Lucrețiu
Ionela,Ludovic
